Elead ID,Source Type,Lead Provider,SubSource,Sale Date,Stock#,Vin#
27794550,Showroom Up,other,,2/25/19,16619,WBAYB6C50ED224972
11968508,Internet Up,Auto Trader Chat,,2/23/19,16649A,JHMAP21457S002868
26968153,Internet Up,Dealer Website,,2/23/19,16344A,WP0AC2A77AL091335
27018504,Phone Up,Website,,2/23/19,16486A,WDDNG8GB7BA386765
27033826,Phone Up,CarGurus,,2/23/19,16721,SALGS2FV2HA345892
27193380,Phone Up,CarGurus,,2/23/19,16645,WBA3T3C57G5A41414
27201927,Showroom Up,Car Gurus,,2/23/19,16709,WBA5B3C57GG256014
27204072,Showroom Up,Car Gurus,,2/23/19,16559,ZAM45VLAXE0113123
27204485,Showroom Up,Drive-by,,2/23/19,16604,WBA3A5G5XFNS87834
27959681,Showroom Up,other,,2/23/19,16559,ZAM45VLAXE0113123
27959682,Showroom Up,other,,2/23/19,16690,WBA5B1C54FD922332
26497544,Phone Up,CarGurus,,2/22/19,16686,SALYL2RX6JA715990
26719421,Phone Up,Leadgogo,,2/22/19,16652A,1C4RJEAT5CC361883
26719457,Internet Up,CarGurus,CarGurus,2/22/19,16729C,1FT8W4DT0GEC50073
26511938,Phone Up,Autotrader,,2/21/19,16677,SALGS3EF3GA297981
26595327,Internet Up,Autotrader.com,,2/21/19,16649,1FA6P8CF6F5417290
26772052,Phone Up,Website,,2/21/19,16708,5UXKU2C50G0N81086
27698106,Showroom Up,other,,2/21/19,16701,WBY2Z2C5XGV675772
27719317,Showroom Up,other,,2/21/19,16521,WAUWGAFC0GN011331
27959679,Showroom Up,other,,2/21/19,16687,WP0AB2A78AL063627
26444153,Phone Up,Autotrader,,2/20/19,16706,WBY2Z2C58GV675320
26693176,Internet Up,CarGurus,CarGurus,2/20/19,16399A,WP0CD29958S788563
26702948,Showroom Up,Website,,2/20/19,16650,JTJBM7FX9G5130038
26969108,Showroom Up,other,,2/20/19,16640,SAJWA0FS0FPU47316
26306146,Internet Up,CarGurus,CarGurus,2/19/19,16556C,4T1BK36B66U121769
26418524,Internet Up,CarNow Chat,,2/19/19,16710,WBAKP9C55GD980826
7102925,Showroom Up,Google,,2/18/19,16581,WP0AA2A75EL011543
26689475,Showroom Up,other,,2/18/19,16581,WP0AA2A75EL011543
26969107,Showroom Up,other,,2/18/19,16676A,WBAVD13596KV08615
27012466,Showroom Up,other,,2/18/19,16712,SALGS2EF3EA137509
25423474,Showroom Up,Connected Store,,2/16/19,16517,WDDUG8FB8EA024008
25747637,Internet Up,CarGurus,CarGurus,2/16/19,16673,WP0AA2A74GL006126
26078880,Internet Up,Autotrader.com,,2/16/19,16596A,WBS6C9C56ED467199
26162355,Showroom Up,Drive-by,,2/16/19,16631,5UXWX9C52G0D73201
26450880,Internet Up,CarGurus,CarGurus,2/16/19,16603,5UXKR0C59G0P30004
26735980,Showroom Up,other,,2/16/19,16633,55SWF4JB4GU131281
26969106,Showroom Up,other,,2/16/19,16672,WP0AB2A72FL050363
27719315,Showroom Up,other,,2/16/19,16603,5UXKR0C59G0P30004
25751910,Phone Up,AutoTrader,,2/15/19,16697,WBA5B3C56FD546437
26073639,Internet Up,CarGurus,CarGurus,2/15/19,16388,WBA8B7G54GNT14347
26341577,Phone Up,Website,,2/15/19,16698,WBA4P1C50HK522490
26418454,Showroom Up,Autotrader,,2/15/19,16589C,JTHBA30G740021971
7125098,Phone Up,Previous Buyer,,2/14/19,16524,SAJWJ2GD0F8V90515
26026391,Phone Up,Website,,2/14/19,16485,WBSFV9C59GG343424
26141864,Phone Up,Website,,2/14/19,16613,SCA664S58FUX53406
26338055,Showroom Up,other,,2/14/19,16579A,WDCYC3HF9EX225353
16073263,Internet Up,Autotrader.com,,2/13/19,16249,ZAM45MMA9F0142588
25759989,Internet Up,CarGurus,CarGurus,2/13/19,16565,ZAM57XSA7F1152579
26021717,Internet Up,Dealer Website,,2/13/19,16662,WDD1K6FB0JF063517
26066321,Internet Up,CarGurus,CarGurus,2/13/19,16561,ZAM57RTA0F1150960
25302180,Phone Up,Autotrader,,2/12/19,16527B,SCBDR33W87C045899
25519875,Phone Up,CarGurus,,2/12/19,16669,5UXKR6C55G0J81209
25751920,Phone Up,AutoTrader,,2/12/19,16585,JTMHY7AJ8B5010602
25908364,Phone Up,CarGurus,,2/12/19,16572B,1C4BJWDG7JL804702
26024110,Showroom Up,Website,,2/12/19,16469,WDDNG77X88A154268
26338054,Showroom Up,other,,2/12/19,16665,WDDHF5KB1GB170918
25426189,Internet Up,Autotrader.com,,2/11/19,16576A,1C4BJWEGXHL540318
25764504,Showroom Up,Website,,2/11/19,16674,WP1AF2A20ELA32725
25919198,Showroom Up,Car Gurus,,2/11/19,16614,JTJYARBZ4G2026340
26254567,Showroom Up,other,,2/11/19,16614,JTJYARBZ4G2026340
26689471,Showroom Up,other,,2/11/19,16361,WP0CD2A90HS178212
24980793,Internet Up,CarGurus,CarGurus,2/9/19,16523A,WAUMGAFL8CA067428
25745180,Internet Up,CarGurus,CarGurus,2/9/19,16423,4JGDA5HB3JB032931
25752188,Internet Up,CarNow Chat,,2/9/19,16646,5UXKR2C51G0R69428
25764539,Showroom Up,Car Gurus,,2/9/19,16652,WP0AD2A77GL040231
26086739,Showroom Up,other,,2/9/19,16454B,WBADW3C5XCE821555
24924877,Internet Up,CarGurus,CarGurus,2/8/19,16648,2T2ZK1BA1FC196635
25569150,Phone Up,CarGurus,,2/8/19,16676,SALWG2VF1FA618261
25569968,Phone Up,Autotrader,,2/8/19,16526B,JA32W8FV0BU038301
25650142,Showroom Up,Drive-by,,2/8/19,16683C,SCBET9ZA1FC041700
25722036,Internet Up,CarGurus,CarGurus,2/8/19,16647,2T2ZK1BA1FC197977
26086738,Showroom Up,other,,2/8/19,16526B,JA32W8FV0BU038301
25591301,Phone Up,AutoTrader,,2/7/19,16638,SAJWB6FC0G8K27890
25492972,Phone Up,CarGurus,,2/6/19,16578A,JM1NC25F770125724
26086737,Showroom Up,other,,2/6/19,16523A,WAUMGAFL8CA067428
26446557,Showroom Up,other,,2/6/19,16620,WP1AA2A23GKA37411
7101882,Internet Up,Dealer Website,,2/5/19,16636,ZAM57RTA7F1139678
25756344,Showroom Up,other,,2/4/19,16366A,WDDJK7EA9DF007630
7167939,Showroom Up,Previous Buyer,,2/2/19,16548A,WP0AD2A98ES167414
23293021,Internet Up,Dealer Website,,2/2/19,16523,WP0AA2A92CS106176
23747528,Showroom Up,Autotrader,,2/2/19,16621,WP1AA2A28GKA10964
24900983,Internet Up,Dealer Website,,2/2/19,16470A,ZAM39NKA8D0066660
7187744,Phone Up,CarGurus,,2/1/19,16600,WBY2Z2C50FV674662
24055642,Internet Up,Autotrader.com,,2/1/19,16459A,ZAMFE39A580033169
24207737,Showroom Up,Referral,,2/1/19,16616,WBA8B9G59JNU57961
24214538,Phone Up,Autotrader,,2/1/19,16599,ZAM45VMA3D0070208
24538396,Internet Up,CarGurus,CarGurus,2/1/19,16670,WDDUG8CBXEA008512
24815717,Showroom Up,Car Gurus,,2/1/19,16263,1C4BJWDG6GL309089
7098745,Showroom Up,Previous Buyer,,1/31/19,16579A,WDCYC3HF9EX225353
12006522,Showroom Up,other,,1/31/19,16373,WP0AC2A97FS183723
23887793,Showroom Up,Autotrader,,1/31/19,16454A,WDCTG4EB0HJ310465
26011287,Showroom Up,other,,1/31/19,16391,WBS3R9C52GK335721
23929277,Internet Up,CarNow,Chat,1/30/19,16515,5YMKT6C56F0C89088
7097686,Showroom Up,other,,1/29/19,16657,SCFRMFAV2JGL03591
24158471,Internet Up,Autotrader.com,,1/29/19,16495A,5XYKT4A67EG490965
24291357,Showroom Up,other,,1/29/19,16602,JTJBM7FX4K5215247
24853901,Showroom Up,other,,1/29/19,16548,ZHWUR1ZF8GLA05308
7093173,Phone Up,Previous Buyer,,1/28/19,16532,WP0AA29987S710647
7100399,Showroom Up,Previous Buyer,,1/28/19,16588A,1J4BA5H11AL106189
7100413,Phone Up,Previous Buyer,,1/28/19,16399,1G1YU3D6XG5605379
7165832,Showroom Up,Drive-by,,1/28/19,16468,5UMCL93422LJ82031
7195035,Phone Up,Previous Buyer,,1/28/19,16584,SALWR2PF4GA121052
21568266,Internet Up,CarNow,Chat,1/28/19,16519,WAUB8GFF1G1077368
23312083,Internet Up,CarGurus,CarGurus,1/28/19,16529A,JTHBK1EG3B2447720
23888250,Showroom Up,other,,1/28/19,16346A,WP0AD2A94HS166569
24754057,Showroom Up,other,,1/28/19,16584,SALWR2PF4GA121052
25120768,Showroom Up,other,,1/28/19,16364C,WP0CA2A90JS138288
7119680,Phone Up,Previous Buyer,,1/26/19,16536,1GYS4GKJ7JR226104
21712528,Internet Up,CarNow,SMS,1/26/19,16558,ZAM45VLA7F0136540
23368207,Phone Up,Autotrader,,1/26/19,16589,WBA3B5G56FNS19379
24754055,Showroom Up,other,,1/26/19,16605,WBY1Z4C5XFV503893
20678346,Phone Up,CarGurus,,1/25/19,16205A,WDDWJ8HB8HF484140
20681350,Phone Up,Chat,,1/25/19,16543,WBA6D6C52HG745518
21040350,Showroom Up,Car Gurus,,1/25/19,16557,WBA6B2C56FGB99224
23208686,Phone Up,Website,,1/25/19,16596,WBS6E9C56HG437486
23359886,Showroom Up,Car Gurus,,1/25/19,16489B,WBSDX9C5XDE785623
7097478,Phone Up,Previous Buyer,,1/24/19,16412,WBA6H7C56GGA05045
23206470,Showroom Up,Car Gurus,,1/24/19,16526,WBAJB9C53JB035242
22943921,Showroom Up,Website,,1/23/19,16530,WP1AF2A22GKA43055
23218007,Phone Up,CarGurus,,1/23/19,16556,WBA8B3G52GNT62633
23292758,Phone Up,Website,,1/23/19,16526A,WBS3R9C56FK331427
23380311,Phone Up,Autotrader,,1/23/19,16440,WBA4W3C57JAC38626
21419727,Phone Up,Autotrader,,1/22/19,16500,WP0CA2A95DS140977
23293161,Showroom Up,Car Gurus,,1/22/19,16588,5UXKR0C54G0P23722
19085887,Internet Up,Auto Trader Chat,,1/21/19,16346,WP0CD2A90HS178808
22592180,Internet Up,CarGurus,CarGurus,1/21/19,16429,WDDNG77XX8A158984
23145117,Phone Up,CarGurus,,1/21/19,16601,WBY2Z2C5XFV392867
23154313,Phone Up,CarGurus,,1/21/19,16512A,WDDWJ6EB3JF669839
23220092,Showroom Up,Drive-by,,1/21/19,16498,WBA6B2C58FGB99144
23320136,Showroom Up,other,,1/21/19,16601,WBY2Z2C5XFV392867
22075274,Internet Up,Autotrader.com,,1/19/19,16595,SALVP2BG1GH101026
22077100,Internet Up,Dealer Website,,1/19/19,16592,JF1VA1A65F9819334
22871032,Internet Up,Dealer Website,,1/19/19,16551,ZAM45MLA4C0061835
22990046,Phone Up,Autotrader,,1/19/19,16572A,WBA3R1C55GK529536
23204471,Showroom Up,Autotrader,,1/19/19,16578,WBA3T3C54G5A41306
23208308,Showroom Up,Drive-by,,1/19/19,16582,WBA8E1G57GNT35701
23320135,Showroom Up,other,,1/19/19,16526,WBAJB9C53JB035242
23035437,Phone Up,Website,,1/18/19,16506A,WDCYC3HF8AX184031
23201845,Showroom Up,other,,1/18/19,16501,WDDUG8CB3FA077964
7159041,Showroom Up,Autotrader,,1/17/19,16568A,WDBUF70J65A721425
22070215,Phone Up,CarGurus,,1/17/19,16597,5UXXW7C54G0M91341
22182712,Phone Up,Autotrader,,1/17/19,16587,5UXKU2C57G0N79769
22852750,Phone Up,Autotrader,,1/17/19,16443D,JTHBL46F975038471
23201843,Showroom Up,other,,1/17/19,16443D,JTHBL46F975038471
7102226,Showroom Up,Previous Buyer,,1/16/19,16466B,WBAEA5C54ACV92989
22197541,Showroom Up,Drive-by,,1/15/19,16509B,JTHBN30F930097962
7097885,Phone Up,Website,,1/14/19,16539,WDDKK6FF3GF334358
20666688,Showroom Up,Drive-by,,1/14/19,16501,WDDUG8CB3FA077964
22105886,Showroom Up,Autotrader,,1/14/19,16503A,WBAPH7G58ANM50952
22869848,Showroom Up,other,,1/14/19,16509B,JTHBN30F930097962
7185023,Internet Up,Autotrader.com,,1/12/19,16366,SCBGH3ZA8FC043094
19116487,Phone Up,AutoTrader,,1/12/19,16518A,WA1CNBFY2J2062409
21562759,Phone Up,Drive-by,,1/12/19,16544,1FTEW1EG2HFB41659
21641968,Phone Up,CarGurus,,1/12/19,16463,1G1YF2D72G5100823
21667922,Internet Up,CarGurus,CarGurus,1/12/19,16568,WDDHF5KB7GB273356
21755256,Phone Up,CarGurus,,1/12/19,16459,WDDSJ5CB0EN088578
22065793,Showroom Up,Autotrader,,1/12/19,16179B,WDBKK47F3XF109627
22869847,Showroom Up,other,,1/12/19,16463,1G1YF2D72G5100823
23015484,Showroom Up,other,,1/12/19,16571,5UXZV8C52CL425378
20681310,Internet Up,CarGurus,CarGurus,1/11/19,16543,WBA6D6C52HG745518
21432272,Internet Up,Other,,1/11/19,16466A,WDDWJ8HB2JF639240
21568469,Internet Up,Autotrader.com,,1/11/19,16569A,WDDGJ7HBXCF801097
21898357,Internet Up,Autotrader.com,,1/11/19,16509A,WDBSK75F34F069985
21972969,Phone Up,Previous Buyer,,1/11/19,16576,4JGDA5JB9HA944683
21666335,Phone Up,CarGurus,,1/10/19,16310A,2HJYK16457H541074
21843169,Phone Up,Referral,,1/10/19,16089A,WUAKNAFG9F7000764
21902841,Showroom Up,other,,1/10/19,16310A,2HJYK16457H541074
7096936,Showroom Up,Previous Buyer,,1/9/19,16541,5UXKU6C54F0F94304
20893042,Internet Up,CarNow,Chat,1/9/19,16572,WP0AA2A99HS106814
21665977,Showroom Up,Website,,1/9/19,16481A,JHMZF1D65FS001375
21044626,Phone Up,Chat,,1/8/19,16497,WP0CA2A83JS210706
21428653,Internet Up,Autotrader.com,,1/8/19,16511A,WDDJK7DA4DF006418
21607742,Phone Up,Cars.com,,1/8/19,16443C,WDDUG8CB6FA203542
21560112,Phone Up,CarGurus,,1/7/19,16494,WP0AD2A78GL041050
21735003,Showroom Up,other,,1/7/19,16494,WP0AD2A78GL041050
20459614,Phone Up,Cars.com,,1/5/19,16528A,WP1AA2A2XBLA10029
21224849,Phone Up,CarGurus,,1/5/19,16495,5UXWX9C54G0D63723
21226503,Showroom Up,Car Gurus,,1/5/19,16179A,WBAUL7C5XDVU08973
21340087,Internet Up,CarGurus,CarGurus,1/5/19,16563,ZAM57RTA6F1148548
21516370,Phone Up,AutoTrader,,1/5/19,16518,5UXTS3C5XJ0Y94735
21519894,Phone Up,Autotrader,,1/5/19,16454,5UXWX9C53G0D75796
7101657,Showroom Up,Autotrader,,1/4/19,16512,5UXKR0C52J0X94148
21902840,Showroom Up,other,,1/4/19,16179A,WBAUL7C5XDVU08973
12005049,Showroom Up,other,,1/3/19,16575,1C3BDEDZ8HV500445
21395953,Phone Up,OVE,,1/3/19,16562,ZAM56PPA7F1141450
21734993,Showroom Up,other,,1/3/19,16495,5UXWX9C54G0D63723
21038479,Phone Up,Autotrader,,1/2/19,16438,4JGDA5HB8GA751025
21338109,Showroom Up,Car Gurus,,1/2/19,16169A,WDBUF87J56X191815
21338996,Showroom Up,Drive-by,,1/2/19,16540,4JGDA5JB8GA639156
21430769,Showroom Up,other,,1/2/19,16540,4JGDA5JB8GA639156
7095551,Phone Up,Previous Buyer,,12/31/18,16569,SCBCU7ZA5BC067574
7102538,Showroom Up,Previous Buyer,,12/31/18,16527A,SCBFU7ZA8EC087738
20180955,Phone Up,AutoTrader,,12/31/18,16260,WBA5M2C56GGH99491
20332099,Internet Up,Dealer Website,,12/31/18,16305,WBAKP9C51GD980614
21042452,Internet Up,Autotrader.com,,12/31/18,16509,WP0CA2A91GS141404
21064578,Phone Up,Previous Buyer,,12/31/18,16511,WP0CD2A96FS178616
21503860,Showroom Up,other,,12/31/18,16520,WA1DGAFP6FA069599
21569987,Showroom Up,other,,12/31/18,16529,WP1AA2A2XGKA09489
7118252,Showroom Up,Website,,12/29/18,16458,WP0AA2A70GL000971
20674178,Showroom Up,Car Gurus,,12/29/18,16535C,WP1AA29P49LA04687
18795510,Phone Up,CarGurus,,12/28/18,16403a,WP0BB2A98JS134854
20600649,Internet Up,CarGurus,CarGurus,12/27/18,16506,WDCYC3HF4CX198205
20890539,Showroom Up,Drive-by,,12/27/18,16466,ZAM57XSA4H1226463
20892603,Phone Up,OVE,,12/27/18,16531,5UXCR6C55KLK83718
7097513,Phone Up,Previous Buyer,,12/26/18,16437A,1B3JZ65Z15V501172
7101958,Phone Up,Previous Buyer,,12/26/18,16489A,WDDJK7EA6DF006080
20617353,Internet Up,Autotrader.com,,12/26/18,16546,WBS6G9C59HD932308
20618532,Internet Up,Other,,12/26/18,16528,WP1AA2A22GKA13827
20689636,Phone Up,Cars.com,,12/26/18,16461A,WBSDX9C50DE786165
20456464,Internet Up,Autotrader.com,,12/24/18,16435,WDDJK7DA3JF053144
20687233,Phone Up,CarGurus,,12/24/18,16533,WDD1J6FB1JF060676
20544487,Internet Up,Dealer Website,,12/22/18,16534,WBAJE5C50JWA93725
20617171,Internet Up,CarGurus,CarGurus,12/22/18,16386,WBA3T7C51G5A37222
20673209,Internet Up,Cars.com,Cars.com Leads,12/22/18,16310,WBY1Z4C57FV278560
7191606,Phone Up,CarGurus,,12/21/18,15766,WDBVF78J44A000365
20911171,Showroom Up,other,,12/21/18,16450,WBA5A7C50FD621174
20145323,Showroom Up,Autotrader,,12/18/18,16510,WP0AA2A73FL000347
20204523,Phone Up,CarGurus,,12/18/18,16482,WBXHU7C38H5H38686
20520172,Showroom Up,other,,12/18/18,16321A,1G6AU5S88G0107383
20706174,Showroom Up,other,,12/18/18,16490,WUAWRAFC8GN903780
19973159,Internet Up,Autotrader.com,,12/17/18,16505,WAUCGAFH7EN010947
21013359,Showroom Up,other,,12/17/18,16279B,5FNYF3H57DB005092
21013361,Showroom Up,other,,12/17/18,16362,ZHWUR1ZF6GLA04982
19805363,Showroom Up,Drive-by,,12/15/18,16169,WP0AA29926S715700
19829259,Showroom Up,Drive-by,,12/15/18,16503,5UXXW5C58F0E88190
19874024,Internet Up,CarGurus,CarGurus,12/15/18,16486,WDDUG8CB6GA220424
20145481,Phone Up,AutoTrader,,12/15/18,16321,WP1AD2A25ELA70750
20147623,Showroom Up,Referral,,12/15/18,16377,WP0AF2A75GL082259
20184730,Showroom Up,other,,12/15/18,16451,5UXKR0C54F0K71396
20618831,Showroom Up,other,,12/15/18,16321,WP1AD2A25ELA70750
19728259,Phone Up,CarGurus,,12/14/18,16280,SCFFDAAEXBGA13352
12007725,Showroom Up,other,,12/12/18,16516,WAU34AFD1GN014095
19906944,Showroom Up,Autotrader,,12/12/18,16433A,WDDSJ4EB8GN324100
19961560,Showroom Up,Autotrader,,12/12/18,16473,WBA8Z5C55GG502448
7101426,Showroom Up,Previous Buyer,,12/11/18,16428,WBAJE5C50JG917861
7167750,Internet Up,CarGurus,CarGurus,12/11/18,16484,1V2MR2CA6JC546856
19490055,Phone Up,CarGurus,,12/11/18,16430,WAUB1GFF8G1011727
19736221,Phone Up,Autotrader,,12/11/18,16489,WP0CD2A95CS773484
19852311,Phone Up,CarGurus,,12/11/18,16452A,3GYFNAE30CS500722
7127111,Phone Up,Previous Buyer,,12/10/18,16397A,JNKCV64E88M111261
19490924,Internet Up,Cars.com,Cars.com Leads,12/10/18,16238,ZAM45VLA0F0134919
19838474,Showroom Up,Drive-by,,12/10/18,16478,WA1A4AFY3J2025602
19974493,Showroom Up,other,,12/10/18,16478,WA1A4AFY3J2025602
19811769,Internet Up,CarNow Chat,,12/8/18,16492,WBAYM9C51DDW20404
19710460,Phone Up,Autotrader,,12/7/18,16481,TRUT5CFV8J1003278
19727569,Phone Up,Chat,,12/7/18,16378,FJ40314125
19495916,Internet Up,Autotrader.com,,12/5/18,16285,WBA5M2C59GG498940
19746609,Phone Up,Autotrader,,12/5/18,16432A,WBAPH73599E128516
19746708,Phone Up,AutoTrader,,12/5/18,16397,WBSKG9C54DJ593015
19486875,Showroom Up,Drive-by,,12/4/18,16427A,2G1FA1EV6A9206232
19493962,Internet Up,CarGurus,CarGurus,12/4/18,16452,WBA1K9C59GV322091
19706110,Internet Up,CarGurus,CarGurus,12/4/18,16488,WDDUG8CB3GA207727
19429684,Internet Up,Autotrader.com,,12/3/18,16283A,1FM5K8F85EGA25966
19508128,Showroom Up,Referral,,12/3/18,16432,WAUKMAF49JA077214
19849457,Showroom Up,other,,12/3/18,16479,5UXKROC52JL072967
7113520,Showroom Up,Previous Buyer,,12/1/18,16390A,ZFFEW58A870153915
18673506,Phone Up,AutoTrader,,12/1/18,16445,WBSLX9C57FD160777
19488151,Showroom Up,Car Gurus,,12/1/18,16424A,WP0CB29806U730066
19780841,Showroom Up,other,,12/1/18,16427A,2G1FA1EV6A9206232
7102063,Phone Up,Previous Buyer,,11/30/18,16329B,1HD1GV4119K307516
19315099,Phone Up,CarGurus,,11/30/18,16453,WBA5A5C55GG347202
19477029,Showroom Up,Autotrader,,11/30/18,16444,WBS6C9C56ED467364
18867890,Internet Up,Autotrader.com,,11/28/18,16456,WBSJF0C52JB282439
19074492,Phone Up,Website,,11/28/18,16476,5UXKR0C52H0V67083
16980905,Showroom Up,Drive-by,,11/27/18,16256,WBY1Z4C52FV503015
17881595,Internet Up,Cars.com,,11/27/18,16376,SCA665C59EUX84540
19115533,Showroom Up,other,,11/26/18,16396,ZFF68NHA8F0207405
18796544,Showroom Up,Car Gurus,,11/24/18,16427,55SWF4JB3FU056670
